"Amazon faces online backlash in China for T-shirts with Hong Kong protest slogans","Asia-articles-txt/articles106txt","15 Aug 2019 05:48PM","Amazon,Hong Kong protests,Hong Kong,China,Business"
"Czech couple pray in cleansing ritual after Bali temple antics","Asia-articles-txt/articles107txt","15 Aug 2019 05:39PM","Indonesia,religion,Asia"
"Thailand to ban pig imports from Myanmar over African swine fever","Asia-articles-txt/articles108txt","15 Aug 2019 05:25PM","swine,Myanmar,Thailand,Asia"
"India's Modi warns of 'unchecked population explosion'","Asia-articles-txt/articles109txt","15 Aug 2019 05:15PM","India,Narendra Modi,Asia"
"Indonesia plans 'surprises' in easing foreign ownership cap: Investment chief","Asia-articles-txt/articles110txt","15 Aug 2019 05:14PM","Indonesia,Business"
"Seven dead tigers found in car in Vietnam","Asia-articles-txt/articles111txt","26 Jul 2019 05:12PM","wildlife,Vietnam,Asia"
"Taiwan presidential smuggling scandal engulfs China Airlines","Asia-articles-txt/articles112txt","26 Jul 2019 05:06PM","Tsai Ing-wen,Taiwan,China Airlines,Asia"
"Myanmar citizens deported from Singapore over alleged insurgent ties remanded in custody","Asia-articles-txt/articles113txt","26 Jul 2019 04:52PM","Myanmar,protest,Asia"
"Police ordered to pull their weight as Indonesia fights obesity","Asia-articles-txt/articles114txt","26 Jul 2019 04:30PM","health,Indonesia,Asia"
"Wrongful detentions, judges' quotas in the search for illegals in India's Assam","Asia-articles-txt/articles115txt","26 Jul 2019 04:27PM","India,crime,Asia"
"Ambulance given by Queensland state government to help grant patients' dying wishes","Asia-articles-txt/articles116txt","26 Jul 2019 04:24PM","Australia,Queensland,health,World"
"Broken promise: Philippine President Duterte vetoes Bill on short-term contracts","Asia-articles-txt/articles117txt","26 Jul 2019 03:54PM","Philippines,Rodrigo Duterte,Asia"
"Protesters calling for 'free Hong Kong' converge on airport","Asia-articles-txt/articles118txt","26 Jul 2019 03:45PM","Hong Kong,Hong Kong protests,Hong Kong Airport,Asia"
"Chinese official urged Hong Kong villagers to drive off protesters before violence at train station","Asia-articles-txt/articles119txt","26 Jul 2019 02:37PM","Hong Kong protests,extradition Bill,Hong Kong,China,news and politics,Asia"
"China's duck farmers cash in as disease slashes pork output","Asia-articles-txt/articles120txt","26 Jul 2019 02:12PM","China,Asia"
"Any violent crackdown in Hong Kong would be 'completely unacceptable', says US Senate leader","Asia-articles-txt/articles121txt","12 Aug 2019 11:59PM","Hong Kong,Hong Kong protests,United States,China,Asia"
"Tens of thousands flee homes in flood-hit Myanmar as landslide toll hits 59","Asia-articles-txt/articles122txt","12 Aug 2019 09:32PM","Myanmar,floods,Asia"
"Reward of RM50,000 offered in search for missing Irish teen in Malaysia","Asia-articles-txt/articles123txt","12 Aug 2019 08:48PM","Malaysia,Irish teenager,Nora Quoirin,Asia"
"Scoot flight from Singapore to Hong Kong forced to turn back; SIA flight diverted due to airport protests","Asia-articles-txt/articles124txt","12 Aug 2019 08:39PM","Hong Kong protests,Hong Kong,Changi Airport,Asia"
"One million moved into camps, 184 dead in India monsoon floods","Asia-articles-txt/articles125txt","12 Aug 2019 07:17PM","India,floods,Asia"
"Indian authorities lock down Kashmir's major city on Eid holiday","Asia-articles-txt/articles126txt","12 Aug 2019 07:14PM","Eid,Kashmir,news and politics,India,Asia"
"China cuts 2019/20 corn use forecast by 2 million tonnes due to African swine fever","Asia-articles-txt/articles127txt","12 Aug 2019 06:00PM","swine,business and finance,China,Asia"
"More than 5,000 protesters at Hong Kong airport: Police","Asia-articles-txt/articles128txt","12 Aug 2019 05:35PM","Hong Kong protests,Hong Kong,Asia"
"More aircraft, rescuers deployed in search for Singaporean kayakers missing off Mersing, Johor","Asia-articles-txt/articles129txt","12 Aug 2019 05:35PM","Mersing,Asia"
"China slams Hong Kong protest violence as 'terrorism'","Asia-articles-txt/articles130txt","12 Aug 2019 04:53PM","Hong Kong protests,Hong Kong,Asia"
"Vietnam says Facebook steps up local content restrictions","Asia-articles-txt/articles131txt","16 Aug 2019 02:24AM","Facebook,Vietnam,Nguyen Manh Hung,internet,Asia"
"Does North Korea's Kim get Trump's tweet alerts?","Asia-articles-txt/articles132txt","16 Aug 2019 02:03AM","radio programme,South Korea,Donald Trump,Kim Jong Un,twitter,Asia"
"Ghost month grub: Dead pets get earthly feast at Vietnam animal cemetery","Asia-articles-txt/articles133txt","15 Aug 2019 11:59PM","pets,Vietnam,Asia"
"French triathlete 'treated for heatstroke' in Tokyo: Report","Asia-articles-txt/articles134txt","15 Aug 2019 11:38PM","Tokyo 2020,sports,athletics,heat,Sport"
"China says it won't 'sit by' on Hong Kong; Trump urges Xi to meet protesters ","Asia-articles-txt/articles135txt","15 Aug 2019 11:28PM","Xi Jinping,Hong Kong,Donald Trump,China,Tiananmen,Asia"
"'I love you and I always will': Family, friends pay tribute to Singaporean kayaker who died in Malaysia","Asia-articles-txt/articles136txt","15 Aug 2019 10:59PM","Mersing,MFA,Josephine Phua,missing,Malaysia,Singapore"
"Myanmar, Bangladesh agree to start Rohingya repatriation next week","Asia-articles-txt/articles137txt","15 Aug 2019 10:47PM","Myanmar,Bangladesh,United Nations,Rakhine,refugee,Rohingya,Asia"
"UN Security Council to meet on Friday on India's moves in Kashmir","Asia-articles-txt/articles138txt","15 Aug 2019 10:39PM","Pakistan,Kashmir,politics,China,United Nations,Asia"
"Malaysia to question Islamic preacher Zakir Naik over remarks on religion","Asia-articles-txt/articles139txt","15 Aug 2019 09:59PM","Malaysia,religion,India,Asia"
"Son of missing Singaporean kayaker in Malaysia urges authorities to 'maintain search effort'","Asia-articles-txt/articles140txt","15 Aug 2019 09:47PM","Singapore,Malaysia,kayak,Singapore"
"Pakistan PM Khan returns home exulting after Washington visit","Asia-articles-txt/articles141txt","25 Jul 2019 05:22PM","Pakistan,US,Imran Khan,Asia"
"Fake news war divides, confuses in Hong Kong","Asia-articles-txt/articles142txt","25 Jul 2019 04:59PM","Hong Kong,fake news,Asia"
"Malaysian toddler dies after being left in car by grandfather for 2 hours","Asia-articles-txt/articles143txt","25 Jul 2019 04:47PM","Malaysia,Langkawi,accident,Asia"
"Australian universities face probe over China deals","Asia-articles-txt/articles144txt","25 Jul 2019 04:09PM","Australia,China,education,World"
"Bomb threat forces evacuation of Kuala Lumpur Court Complex: Report","Asia-articles-txt/articles145txt","25 Jul 2019 02:27PM","Kuala Lumpur,security,Asia"
"North Korea fires short-range missiles in latest provocation","Asia-articles-txt/articles146txt","25 Jul 2019 02:26PM","North Korea,South Korea,Asia"
"Indonesia pardons woman jailed after exposing sexual harassment","Asia-articles-txt/articles147txt","25 Jul 2019 02:22PM","Indonesia,sexual harassment,Joko Widodo,Asia"
"North Korea's Air Koryo to begin direct flights to Macau","Asia-articles-txt/articles148txt","25 Jul 2019 01:28PM","North Korea,Air Koryo,aviation,Macau,Asia"
"China, Malaysia restart East Coast Rail Link project after year-long suspension","Asia-articles-txt/articles149txt","25 Jul 2019 01:17PM","business and finance,China,Malaysia,ECRL,Belt and Road,Asia"
"Thai PM faces first opposition challenge as he sets out plans","Asia-articles-txt/articles150txt","25 Jul 2019 01:03PM","Prayuth Chan-ocha,Bangkok,Asia"
"Powerful storm Krosa lashes Japan, snarls holiday travel","Asia-articles-txt/articles151txt","15 Aug 2019 09:16AM","Japan,weather,typhoon,Asia"
"Global stocks hurt by China's trade threats, falling bond yields","Asia-articles-txt/articles152txt","15 Aug 2019 08:40AM","business and finance,U.S.,Fed,yield curve,China,Business"
"Tokyo's Nikkei opens down nearly 2% after Wall Street rout","Asia-articles-txt/articles153txt","15 Aug 2019 08:38AM","Business"
"Hong Kong airport on heightened security as city braces for more protests","Asia-articles-txt/articles154txt","15 Aug 2019 08:14AM","Hong Kong protests,HKIA,Hong Kong,extradition bill,China,aviation,Asia"
"Trump says Xi can 'quickly and humanely solve' Hong Kong standoff","Asia-articles-txt/articles155txt","15 Aug 2019 07:27AM","Hong Kong protests,China,Donald Trump,World"
"Forgotten heroes: Indonesian independence war veterans fall on hard times","Asia-articles-txt/articles156txt","15 Aug 2019 06:29AM","Indonesia,Jakarta,veteran,independence,Asia"
"Commentary: A weaker yuan and how China reminded the US of the economic arrows in its quivers","Asia-articles-txt/articles157txt","15 Aug 2019 06:28AM","currency war,US China trade war,yuan,US dollar,Commentary"
"Commentary: How a leaderless movement in Hong Kong went haywire","Asia-articles-txt/articles158txt","15 Aug 2019 06:27AM","Hong Kong protests,Hong Kong,China,Carrie lam,extradition bill,Commentary"
"US 'deeply concerned' by reports of Chinese paramilitary at Hong Kong border","Asia-articles-txt/articles159txt","15 Aug 2019 04:11AM","Hong Kong protests,Hong Kong,China,extradition bill,Asia"
"China curbs gold imports as trade war heats up","Asia-articles-txt/articles160txt","15 Aug 2019 02:57AM","China,gold,bullion industry,dollar,yuan,Business"
"Bangladesh, UNHCR to survey Rohingya regarding return to Myanmar","Asia-articles-txt/articles161txt","19 Aug 2019 10:06PM","Myanmar,Bangladesh,news and politics,UNHCR,Rohingya,Asia"
"Cathay Pacific's new boss puts emphasis on safety and security","Asia-articles-txt/articles162txt","19 Aug 2019 09:23PM","Cathay Pacific,China,Hong Kong,Hong Kong protests,Business"
"Pakistan army chief gets three-year extension amid Kashmir row","Asia-articles-txt/articles163txt","19 Aug 2019 08:51PM","Pakistan,Kashmir,India,Asia"
"Malaysia quizzes Indian Islamic preacher Zakir Naik as pressure mounts","Asia-articles-txt/articles164txt","19 Aug 2019 08:50PM","Zakir Naik,Malaysia,Asia"
"Thousands of Indonesians hit the beach in mass trash pick-up","Asia-articles-txt/articles165txt","19 Aug 2019 08:38PM","Indonesia,environment,Asia"
"Bangladesh ready to repatriate 3,500 Rohingya refugees to Myanmar","Asia-articles-txt/articles166txt","19 Aug 2019 08:38PM","Bangladesh,Rohingya,Rakhine,Myanmar,human rights,Asia"
"US grants Huawei another 90 days to buy from American suppliers: Ross","Asia-articles-txt/articles167txt","19 Aug 2019 08:11PM","business and finance,US,Ross,Huawei,Business"
"General accused of war crimes appointed Sri Lanka army chief","Asia-articles-txt/articles168txt","19 Aug 2019 08:04PM","Sri Lanka,news and politics,Shavendra Silva,Asia"
"China lashes Taiwan over offer to Hong Kong protesters","Asia-articles-txt/articles169txt","19 Aug 2019 07:46PM","Hong Kong protests,Taiwan,China,Asia"
"Missing Singaporean kayaker Tan Eng Soon will be 'at peace' at sea, says family","Asia-articles-txt/articles170txt","19 Aug 2019 07:40PM","Singaporean kayakers,Malaysia,Ministry of Foreign Affairs,Singapore"
"Afghans dying at 'unacceptable' level amid peace push: UN","Asia-articles-txt/articles171txt","30 Jul 2019 02:56PM","Afghanistan,United Nations,news and politics,Asia"
"Sultan Abdullah formally installed as Malaysia's new king","Asia-articles-txt/articles172txt","30 Jul 2019 12:17PM","Malaysia,king,Pahang,Asia"
"Indonesia returns containers of waste to France, Hong Kong","Asia-articles-txt/articles173txt","30 Jul 2019 12:04PM","Indonesia,waste,Asia"
